tvstudy v1.3.1
Host,"localhost"
CDBS,"07/01/2013 (2)  FP&ClassA"
Study,"Top100 Studies"
Scenario,"DMA20"
Comment,
Start,"2015.05.19 11:15:36"
Desired,,,,,,,NoiseLimited,,TerrainLimited,,InterferenceFree,,,Undesired,,,,,,TotalInterference,,UniqueInterference
FacID,Ch,Call,FileNumber,City,St,InCountry,Area,Population,Area,Population,Area,Population,,FacID,Ch,Call,FileNumber,City,St,Area,Population,Area,Population
,,,,,,,,,,,,,,60307,7,"KRNV-DT","BLCDT20040622ABF","RENO","NV",2581.4,606218,609.4,86788
,,,,,,,,,,,,,,19653,8,"KSBW","BLCDT20090901ACY","SALINAS","CA",432.6,17751,288.2,17321
51189,19,"KOFY-TV","BLCDT20091102AAU","SAN FRANCISCO",CA,US,33530.0,8082032,28366.8,7232369,26849.5,6827873,,58609,18,"KUVS-DT","BLCDT20020906ABH","MODESTO",CA,1481.0,386385,1468.9,386248
,,,,,,,,,,,,,,334,20,"K20JX-D","BLDTA20101006AAS","SACRAMENTO","CA",48.3,18248,36.2,18111
37511,27,"KTSF","BLCDT20111025AGM","SAN FRANCISCO",CA,US,29093.9,7451660,24315.9,6676862,23007.4,6468892,,20871,26,"KTFK-DT","BLCDT20110819ABS","STOCKTON",CA,1196.9,181197,613.8,81979
,,,,,,,,,,,,,,70900,27,"KEXT-CA","BLTTA20030123ACJ","MODESTO","CA",686.6,125958,103.5,26740
,,,,,,,,,,,,,,18148,28,"KDTV-CD","BLDTA20100730ADZ","SANTA ROSA","CA",8.0,33,8.0,33
52887,28,"KFTL-CD","BLDTA20100419ACP","SAN FRANCISCO",CA,US,7398.8,5104417,5731.1,4358129,4266.6,3814535,,25452,29,"KPIX-TV","BLCDT20091112AIZ","SAN FRANCISCO",CA,1130.8,296493,261.4,132431
,,,,,,,,,,,,,,37511,27,"KTSF","BLCDT20111025AGM","SAN FRANCISCO","CA",1000.6,293012,226.2,230647
,,,,,,,,,,,,,,51930,28,"KKPM-CD","BLDTA20100914AHF","CHICO","CA",27.7,1104,0.0,0
,,,,,,,,,,,,,,18148,28,"KDTV-CD","BLDTA20100730ADZ","SANTA ROSA","CA",242.0,136658,79.7,15350
25452,29,"KPIX-TV","BLCDT20091112AIZ","SAN FRANCISCO",CA,US,37642.7,8340753,31953.4,7482904,31925.3,7482846,,51930,28,"KKPM-CD","BLDTA20100914AHF","CHICO",CA,12.1,15,12.1,15
,,,,,,,,,,,,,,52887,28,"KFTL-CD","BLDTA20100419ACP","SAN FRANCISCO","CA",8.0,19,8.0,19
,,,,,,,,,,,,,,18148,28,"KDTV-CD","BLDTA20100730ADZ","SANTA ROSA","CA",8.0,24,8.0,24
35500,30,"KQED","BLEDT20100216ACU","SAN FRANCISCO",CA,US,35837.6,7965424,30223.6,7037154,28877.2,6765686,,8620,30,"KFSN-TV","BLCDT20110914ABW","FRESNO",CA,1022.0,253919,1006.0,253919
,,,,,,,,,,,,,,35611,31,"KSMS-TV","BLCDT20120111ABM","MONTEREY","CA",340.4,17549,324.4,17549
43095,33,"KMTP-TV","BLEDT20100216ABJ","SAN FRANCISCO",CA,US,32812.2,7618062,27353.7,6708584,26857.0,6684734,,26249,32,"KION-TV","BLCDT20030604ACO","MONTEREY",CA,76.1,464,4.0,4
,,,,,,,,,,,,,,34440,32,"KEMO-TV","BLCDT20090612AGW","SANTA ROSA","CA",88.4,5492,64.3,3619
,,,,,,,,,,,,,,52888,33,"KDJT-CA","BLTTA20111005AHU","SALINAS/MONTEREY,ETC","CA",428.4,20227,332.2,17894
65526,38,"KRON-TV","BLCDT20091110AAH","SAN FRANCISCO",CA,US,36917.3,8050508,30936.4,7089574,29601.5,6862237,,35594,38,"KSEE","BMLCDT20080324AIQ","FRESNO",CA,998.3,221192,970.4,221179
,,,,,,,,,,,,,,167838,39,"KMMD-CD","BLDTA20110826ADI","SALINAS","CA",364.5,6158,336.6,6145
71586,39,"KCNS","BLCDT20110712ACG","SAN FRANCISCO",CA,US,36578.0,8048519,30581.8,7063009,27213.1,6718897,,10205,40,"KTXL","BLCDT20090918ABS","SACRAMENTO",CA,1657.8,320764,1641.9,320764
